,UWI,Depth,FACIES,DTC,GR,NPHI,PEF,RESD,RESM,RHOB
8843,Torosa 1,3623.402397,2.0,89.31392679,64.21961073,0.255560217,3.735304035,1.174709573,1.295630342,2.513335519
8844,Torosa 1,3623.554741,2.0,89.65271313,64.56838777,0.2609834,3.708583345,1.133592842,1.251450477,2.514357393
8845,Torosa 1,3623.707085,2.0,90.03195628,63.15542754,0.266142231,3.774597205,1.177910932,1.301283085,2.522444427
8846,Torosa 1,3623.859428,2.0,89.87536622,60.576069,0.267052327,3.830698268,1.258219199,1.389545259,2.537086022
8847,Torosa 1,3624.011772,2.0,89.62275522,59.94254886,0.263928836,3.839838472,1.312409703,1.449432531,2.54393717
8848,Torosa 1,3624.164116,2.0,89.60379473,62.39656387,0.26504199,3.843005113,1.37238243,1.519123437,2.547372387
8849,Torosa 1,3624.31646,2.0,89.62703574,65.81286969,0.275907565,3.827852783,1.294278866,1.432925014,2.536483236
8850,Torosa 1,3624.468804,2.0,89.46520778,67.08605362,0.283472903,3.763430722,1.150466616,1.270282119,2.526774405
8851,Torosa 1,3624.621147,2.0,89.00509006,65.70186757,0.28296548,3.729133566,1.104793194,1.220877141,2.5274335690000003
8852,Torosa 1,3624.773491,2.0,88.92852498,62.52306104,0.267590943,3.781883317,1.253532218,1.3906566619999998,2.544552681
8853,Torosa 1,3624.925835,2.0,89.47158107,60.04800036,0.250046149,3.829474196,1.441041611,1.597647466,2.557651895
8854,Torosa 1,3625.078179,2.0,89.76097800000002,58.54250863,0.250041182,3.780367667,1.3677309990000002,1.5140727980000002,2.544366825
8855,Torosa 1,3625.230523,2.0,89.42388796,57.03233053,0.25783727300000003,3.763193452,1.236550564,1.366963001,2.530847358
8856,Torosa 1,3625.382866,2.0,88.48042506,56.57059443,0.258169127,3.760190808,1.254518552,1.381738475,2.530153573
8857,Torosa 1,3625.53521,2.0,87.66706797,55.56594628,0.25479777800000003,3.799067341,1.327833666,1.454307169,2.528540838
8858,Torosa 1,3625.687554,2.0,87.32175402,56.74514582,0.251532911,3.770677368,1.288442966,1.40605571,2.522876611
8859,Torosa 1,3625.839898,2.0,87.32861667,58.29869435,0.252814599,3.723758282,1.243088042,1.3481447780000002,2.527969866
8860,Torosa 1,3625.992242,2.0,87.45535097,58.88162548,0.256635488,3.709060653,1.302246627,1.416559722,2.538674348
